                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.75419,                0.50105,                 1.0768,                0.35455,                0.36538,                0.35054,                0.19869,                 2.4289,                 4.2572,                 2.7501,               0.004258,               0.004258,               0.004258
                    118,                0.75988,                0.51475,                 1.0727,                0.33852,                0.37179,                0.36992,                0.19142,                   2.34,                 4.2341,                 2.6951,              0.0042085,              0.0042085,              0.0042085
                    119,                0.73567,                0.50824,                 1.0755,                0.36401,                0.39103,                0.40778,                0.20661,                 2.2948,                 4.2748,                 2.6165,               0.004159,               0.004159,               0.004159
                    120,                0.72678,                0.50625,                 1.0544,                0.38412,                0.38462,                0.39646,                0.20127,                 2.3096,                 4.3834,                 2.6613,              0.0041095,              0.0041095,              0.0041095
                    121,                 0.7204,                0.49063,                 1.0646,                0.31444,                0.36934,                 0.3709,                0.19446,                 2.3192,                  4.334,                 2.7411,                0.00406,                0.00406,                0.00406
                    122,                0.73272,                0.49281,                 1.0532,                0.82628,                0.29487,                0.29221,                 0.1475,                 2.4837,                 4.5519,                 2.8365,              0.0040105,              0.0040105,              0.0040105
                    123,                0.71465,                 0.4763,                 1.0356,                  0.338,                0.33333,                0.33145,                0.17063,                 2.3989,                 4.2312,                 2.7896,               0.003961,               0.003961,               0.003961
                    124,                0.71466,                0.47518,                 1.0498,                0.32964,                0.31012,                0.28218,                0.14282,                 2.3838,                 4.0857,                 2.7989,              0.0039115,              0.0039115,              0.0039115
                    125,                0.72291,                0.48207,                 1.0405,                0.28472,                0.33912,                0.30523,                0.16022,                 2.4325,                 4.1623,                 2.7928,               0.003862,               0.003862,               0.003862
                    126,                0.70829,                0.48246,                 1.0508,                 0.8157,                0.35256,                0.32235,                0.15311,                 2.4129,                 4.1041,                 2.8401,              0.0038125,              0.0038125,              0.0038125
                    127,                0.71424,                0.47496,                 1.0418,                0.86144,                0.29487,                0.34355,                0.16797,                 2.6987,                 4.1743,                 2.8635,               0.003763,               0.003763,               0.003763
                    128,                0.71133,                0.47352,                 1.0545,                0.33909,                0.30769,                0.31741,                0.15876,                 2.5778,                 4.2763,                 2.8599,              0.0037135,              0.0037135,              0.0037135
                    129,                0.71082,                0.47657,                 1.0352,                0.83443,                0.33665,                0.32806,                0.16306,                 2.3928,                 4.2359,                 2.9436,               0.003664,               0.003664,               0.003664
                    130,                0.69156,                0.47255,                 1.0315,                0.39844,                0.35211,                0.38229,                0.19297,                 2.3269,                 4.1366,                  2.721,              0.0036145,              0.0036145,              0.0036145
                    131,                0.70957,                0.47451,                 1.0405,                0.36576,                0.33333,                0.34749,                0.16423,                 2.4013,                 4.0618,                 2.8138,               0.003565,               0.003565,               0.003565
                    132,                0.70843,                0.47127,                 1.0516,                0.38569,                0.36538,                0.40327,                0.22558,                   2.41,                 3.7039,                 2.7029,              0.0035155,              0.0035155,              0.0035155
                    133,                0.70687,                0.47333,                 1.0329,                0.35196,                0.33974,                0.32479,                0.17149,                 2.4491,                 4.1885,                 2.7498,               0.003466,               0.003466,               0.003466
                    134,                0.68323,                0.46727,                 1.0282,                0.45841,                0.33333,                0.41169,                0.21513,                 2.5195,                 3.9939,                 2.7621,              0.0034165,              0.0034165,              0.0034165
                    135,                0.69281,                0.46532,                 1.0205,                0.35861,                 0.3141,                0.32233,                0.17149,                 2.3211,                 4.0519,                 2.7098,               0.003367,               0.003367,               0.003367
                    136,                0.68435,                 0.4678,                 1.0224,                0.38562,                0.39847,                0.40859,                 0.1957,                 2.3034,                 3.9971,                 2.6235,              0.0033175,              0.0033175,              0.0033175
                    137,                0.70681,                0.47021,                  1.043,                0.35701,                0.36538,                0.38103,                0.18989,                 2.3868,                 4.0239,                 2.6967,               0.003268,               0.003268,               0.003268
                    138,                0.68659,                0.45685,                 1.0189,                0.87201,                0.31676,                0.35629,                0.17996,                 2.3741,                 4.1274,                 2.6907,              0.0032185,              0.0032185,              0.0032185
                    139,                0.70687,                0.47174,                 1.0372,                0.92494,                0.32051,                0.40557,                0.20969,                 2.3081,                 3.9665,                 2.6267,               0.003169,               0.003169,               0.003169
                    140,                0.68107,                0.45968,                 1.0252,                0.33945,                0.32692,                0.31537,                0.16583,                 2.3678,                 4.1947,                 2.7096,              0.0031195,              0.0031195,              0.0031195
                    141,                0.66366,                0.45574,                 1.0083,                0.38221,                 0.3141,                0.35075,                0.18043,                 2.3676,                  4.033,                 2.7094,                0.00307,                0.00307,                0.00307
                    142,                0.69043,                0.47189,                  1.026,                0.86627,                 0.3141,                0.33783,                0.16601,                 2.4181,                  4.171,                 2.7896,              0.0030205,              0.0030205,              0.0030205
                    143,                0.67491,                 0.4574,                 1.0365,                  0.382,                0.32051,                 0.3345,                0.15636,                 2.6748,                 4.1961,                 2.8463,               0.002971,               0.002971,               0.002971
                    144,                0.69211,                0.46691,                 1.0444,                0.91065,                0.32692,                 0.3644,                0.18904,                 2.4373,                 3.9302,                 2.7432,              0.0029215,              0.0029215,              0.0029215
                    145,                0.68297,                0.46134,                 1.0332,                0.82602,                0.28205,                0.29013,                0.15749,                 2.4227,                 4.1996,                  2.838,               0.002872,               0.002872,               0.002872
                    146,                0.66833,                0.45817,                 1.0188,                0.88995,                0.34615,                0.38117,                0.20034,                 2.3465,                 3.9258,                 2.6788,              0.0028225,              0.0028225,              0.0028225
                    147,                0.69378,                0.47036,                 1.0416,                0.34928,                0.33333,                0.35705,                0.17871,                 2.5128,                  3.956,                 2.7213,               0.002773,               0.002773,               0.002773
                    148,                0.66436,                0.44566,                 1.0223,                0.40609,                0.32692,                0.39984,                 0.2006,                 2.4051,                 3.7108,                 2.7046,              0.0027235,              0.0027235,              0.0027235
                    149,                0.67866,                0.45994,                 1.0213,                0.31302,                0.35416,                0.33794,                0.16396,                 2.3953,                 3.9341,                  2.759,               0.002674,               0.002674,               0.002674
                    150,                0.65448,                0.44604,                 1.0088,                0.35193,                0.33974,                0.35064,                0.18192,                 2.5701,                 4.0534,                 2.7822,              0.0026245,              0.0026245,              0.0026245
                    151,                0.66416,                0.44816,                 1.0183,                0.31302,                0.27564,                0.25642,                0.13094,                 2.5526,                 4.1564,                 2.8968,               0.002575,               0.002575,               0.002575
