                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.98258,                0.62918,                 1.0325,                0.96719,                  0.952,                0.98577,                0.69335,                 1.1755,                0.61082,                 1.1682,              0.0055945,              0.0055945,              0.0055945
                     91,                0.98739,                0.64511,                  1.036,                0.96722,                   0.96,                0.98077,                0.68677,                 1.1689,                 0.6243,                 1.1682,               0.005545,               0.005545,               0.005545
                     92,                0.97569,                0.64645,                 1.0342,                0.97455,                  0.964,                0.98534,                0.67241,                 1.2135,                0.59378,                 1.1929,              0.0054955,              0.0054955,              0.0054955
                     93,                0.96914,                 0.6202,                 1.0167,                0.96375,                   0.96,                0.98723,                0.66443,                 1.2343,                0.59025,                 1.2375,               0.005446,               0.005446,               0.005446
                     94,                0.96887,                0.63372,                 1.0426,                0.94949,                0.97237,                0.98936,                0.67002,                 1.2098,                0.58421,                 1.1965,              0.0053965,              0.0053965,              0.0053965
                     95,                0.96822,                0.62684,                 1.0353,                0.95612,                   0.98,                0.98991,                0.68837,                 1.1805,                0.58275,                 1.1861,               0.005347,               0.005347,               0.005347
                     96,                0.98887,                0.62381,                 1.0327,                0.97339,                0.97022,                0.98766,                0.68849,                 1.1853,                0.58908,                 1.2061,              0.0052975,              0.0052975,              0.0052975
                     97,                0.92686,                0.61171,                 1.0045,                0.97506,                  0.952,                0.98325,                0.67954,                 1.2116,                0.61323,                 1.2091,               0.005248,               0.005248,               0.005248
                     98,                0.99477,                0.63063,                 1.0226,                0.96353,                0.97429,                0.98227,                0.68373,                 1.1847,                0.60936,                 1.1855,              0.0051985,              0.0051985,              0.0051985
                     99,                0.93925,                0.60537,                 1.0231,                0.96056,                0.96398,                0.98498,                0.66448,                 1.1806,                0.59544,                 1.1876,               0.005149,               0.005149,               0.005149
